email,date_time,food_name,protein,carbs,fat
admin@fitwell.com,2021-01-17T01:00,Apple,0.5,0.2,0
admin@fitwell.com,2021-01-18T02:00,Apple,0.5,0.2,0
admin@fitwell.com,2021-01-19T05:00,Banana,0.1,0.5,0
admin@fitwell.com,2021-01-20T08:00,Apple,0.2,0,0
admin@fitwell.com,2021-01-21T11:00,Grape,0,0,0.5
admin@fitwell.com,2021-01-22T15:00,Apple,0.2,0,0
admin@fitwell.com,2021-01-23T22:00,Pear,0.3,0.3,0
aaa@gmail.com,2021-01-17T01:00,Apple,0.5,0,0.1
aaa@gmail.com,2021-01-18T02:00,Burger,10,0,10
aaa@gmail.com,2021-01-19T05:00,Apple,0,0,0
aaa@gmail.com,2021-01-20T08:00,Apple,0,0,0
aaa@gmail.com,2021-01-21T11:00,Orange,10,0,10
aaa@gmail.com,2021-01-22T15:00,Apple,10,0,10
aaa@gmail.com,2021-01-23T22:00,Banana,10,0,10
bbb@gmail.com,2021-01-17T01:00,Apple,10,10,0
bbb@gmail.com,2021-01-18T02:00,Apple,10,10,0
bbb@gmail.com,2021-01-19T05:00,Fish,20,20,20
bbb@gmail.com,2021-01-20T08:00,Apple,0.5,1.5,0.3
bbb@gmail.com,2021-01-21T11:00,Rice,10,10,0
bbb@gmail.com,2021-01-22T15:00,Apple,10,10,0
bbb@gmail.com,2021-01-23T22:00,Apple,10,10,0
